Configuration,Best Result,Average Best,Worst Result,Average Mean,Runs
ackley_6793b44d,0.04350432415779997,0.04591027518766656,0.05045337238205763,0.04591027518766656,10
ackley_6970ca3d,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.21829088637593896,10
ackley_69b25f4c,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25509449779638815,10
ackley_70c504fd,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.18938000727686802,10
ackley_71262445,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.1858861473717059,10
ackley_720ef90e,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25407256331161954,10
ackley_7279db4d,0.04426825124129264,0.049373556690798584,0.06663393497267085,0.049373556690798584,10
ackley_75125e94,0.04648313683472956,0.060290446622340364,0.07502015452594506,0.04731729831555427,10
ackley_76820e21,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2569992181601749,10
ackley_7729686e,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2557737114808846,10
ackley_78e84648,0.04493836456554364,0.04971894191194345,0.06273429306506352,0.04581224780916807,10
ackley_7cddcef5,0.044336743546897386,0.051142884533067,0.07117806101777041,0.047769913431782426,10
ackley_806fe6dd,0.04420017720346009,0.04769804020879954,0.05617704131641533,0.04597232386361697,10
ackley_8465c64f,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2559829056310019,10
ackley_84f3b28b,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2579143184114357,10
ackley_8d10dab7,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25801189462045426,10
ackley_916ffcd9,0.20633388401034994,0.2532847455292803,0.26502246090901294,0.2492888874230971,10
ackley_9218e1b5,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.22757501463341465,10
ackley_92a080a7,0.043542227541267554,0.04852952752785407,0.06323281392831884,0.04852952752785407,10
ackley_92c687d0,0.04457790868298974,0.056538411272805046,0.10262768836007073,0.04845160803968326,10
ackley_9498d469,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.26140983626195946,10
ackley_a38ca72f,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25979912954484374,10
ackley_a43748ad,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.255934008370036,10
ackley_ac71860b,0.04369807144542642,0.05102983093766317,0.09521074241657215,0.05102983093766317,10
