Configuration,Best Result,Average Best,Worst Result,Average Mean,Runs,Best Vector,Best Time
cec2014_f5_35efa8bc,0.001917474836792663,0.001918080178336028,0.0019185099560996158,0.0019167972636174508,10,"[69.9607843137255, -34.19607843137255, -10.352941176470594, 56.78431372549019, -37.96078431372549, -22.901960784313722, 19.764705882352942, -22.274509803921568, 71.2156862745098, 42.98039215686275]",1.6249339580535889
cec2014_f5_3fc91e92,0.0019184953865122375,0.001918825175561673,0.0019191200170768702,0.0019176194014275537,10,"[-37.333333333333336, -63.05882352941177, 59.92156862745097, 44.23529411764706, -72.47058823529412, -74.3529411764706, -78.74509803921569, -10.980392156862749, 14.117647058823536, -43.6078431372549]",16.96743607521057
cec2014_f5_41cd7f95,0.001912551451549701,0.0019135551440850097,0.0019147444776079112,0.0019131700726007146,10,"[26.66666666666667, -22.274509803921568, 61.176470588235304, -22.274509803921568, 4.078431372549019, -10.980392156862749, 47.372549019607845, -57.41176470588235, 53.019607843137265, -37.96078431372549]",1.670201063156128
cec2014_f5_44a0e79a,0.001918874716601145,0.0019253972749145195,0.0019687121288137787,0.001921531633325173,10,"[17.25490196078431, -8.470588235294116, -65.56862745098039, -26.03921568627451, 29.17647058823529, 44.86274509803921, 66.19607843137254, -53.01960784313725, -12.235294117647058, -41.72549019607843]",17.15699315071106
cec2014_f5_44a2a736,0.0019170875209350224,0.00191758471696644,0.0019180226255595895,0.0019174798676120219,10,"[-73.72549019607843, -50.50980392156863, -19.137254901960787, 2.1960784313725554, 24.15686274509804, -73.72549019607843, -31.058823529411768, 42.352941176470594, 49.25490196078431, -49.88235294117647]",1.630108118057251
cec2014_f5_46673800,0.0019175269165702536,0.0019179729301498235,0.0019182686976585513,0.0019170786867993936,10,"[-58.03921568627451, 80.0, -37.96078431372549, -40.470588235294116, -66.19607843137254, -59.294117647058826, 68.07843137254903, 19.764705882352942, -38.588235294117645, -32.94117647058823]",1.609025001525879
cec2014_f5_519f0320,0.0019172334088069904,0.0019181430339028384,0.0019185928117029772,0.0019169353430166178,10,"[40.470588235294116, 32.94117647058823, -34.19607843137255, -5.333333333333329, -75.6078431372549, -76.86274509803921, -5.333333333333329, -44.86274509803921, -2.1960784313725554, -42.35294117647059]",1.6063690185546875
cec2014_f5_52d2ba48,0.001918536578151474,0.001924752242196366,0.001977631315663961,0.0019218301277721158,10,"[-76.23529411764706, -62.431372549019606, -77.49019607843137, -8.470588235294116, 5.333333333333329, 78.11764705882354, -42.98039215686274, 26.039215686274517, 61.80392156862746, 69.33333333333334]",16.936952114105225
cec2014_f5_5ad55d93,0.0019116381631698156,0.001913019866496865,0.0019143161242399414,0.0019130198664968647,10,"[44.23529411764706, -1.5686274509803866, -45.490196078431374, -49.88235294117647, -68.07843137254902, 32.31372549019608, 0.3137254901960773, 58.66666666666666, -54.90196078431373, 51.76470588235293]",1.6518259048461914
cec2014_f5_5d2596de,0.0019177752034984293,0.001918171795537292,0.001918647169352693,0.0019168483305717627,10,"[-53.01960784313725, 31.686274509803923, 27.92156862745098, -45.490196078431374, 31.686274509803923, 19.764705882352942, -18.509803921568626, 29.17647058823529, 34.196078431372555, 17.25490196078431]",1.6288371086120605
